"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Just Chatting","1","Just Chatting","40070106540","517755180","878286","8506","724763","309182","3995","77.39","23953036","897021950","2.775794845741572","103.95128639755956","Just Chatting"
"League of Legends","2","League of Legends","24525668160","448639440","3082772","5418","375719","189241","3461","54.67","6754943","422762845","0.903390437541559","56.539324095090706","League of Legends"
"Grand Theft Auto V","3","Grand Theft Auto V","24070933620","320498940","591485","5085","278352","185732","2472","75.1","10893275","348172295","2.0393093967799083","65.1806764165897","Grand Theft Auto V"
"VALORANT","4","VALORANT","13690090920","491001180","732010","7148","457460","105633","3788","27.88","8600813","321628051","1.0510133193569922","39.302722368202865","VALORANT"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","12647205540","171906780","1916027","2823","209189","97586","1326","73.57","4936500","297600622","1.7229686926833252","103.87046584201042","Counter-Strike: Global Offensive"
"Minecraft","6","Minecraft","11646032700","345668820","795663","6055","541174","89861","2667","33.69","11577935","188551455","2.0096579726224655","32.728110391906334","Minecraft"
"Apex Legends","7","Apex Legends","10839301620","594831300","330106","11894","479591","83636","4589","18.22","3896336","175705028","0.39301926445363583","17.723179126585975","Apex Legends"
"Dota 2","8","Dota 2","10211426460","126948900","1636441","1934","69934","78791","979","80.44","2853745","282429953","1.3487686777908277","133.4851832508986","Dota 2"
"Fortnite","9","Fortnite","10187743500","665334180","1186225","88723","756767","78609","5133","15.31","13809918","260212225","1.2453818019690497","23.46600245308305","Fortnite"
"New World","10","New World","8555697060","247297080","981589","16321","169374","66016","1908","34.6","1635190","163104089","0.3967349715572865","39.57283013612615","New World"
"Call of Duty: Warzone","11","Call of Duty: Warzone","8168173080","386451900","341961","7146","246453","63026","2981","21.14","4353599","121667232","0.6759339001826618","18.88989010016512","Call of Duty: Warzone"
"FIFA 22","12","FIFA 22","7987713600","138230520","515344","5036","172786","61633","1066","57.79","4261049","119818616","1.8495404632782977","52.00817417166628","FIFA 22"
"Dead by Daylight","13","Dead by Daylight","4516503600","277764660","118509","4100","233008","34849","2143","16.26","2001826","65504293","0.4324148363582322","14.149595488497349","Dead by Daylight"
"Slots","14","Slots","3722349720","15125940","206048","217","9365","28721","116","246.09","910648","33526072","3.612263436189751","132.98772307704513","Slots"
"Music","15","Music","3668059140","151077960","144613","1901","84340","28302","1165","24.28","2013954","160576639","0.7998336752759966","63.77236189845296","Music"
"Teamfight Tactics","16","Teamfight Tactics","3613018800","47159580","136282","1107","64690","27878","363","76.61","606797","44480104","0.772013236759106","56.5909670951268","Teamfight Tactics"
"Hearthstone","17","Hearthstone","3528938460","26492520","101280","764","23780","27229","204","133.21","297633","50441949","0.6740763053118389","114.24043239374737","Hearthstone"
"Special Events","18","Special Events","3314065500","7547460","1336553","3829","19175","25571","58","439.1","2035363","87151823","16.18051370924788","692.830353522907","Special Events"
"World of Warcraft","19","World of Warcraft","3031815960","144243240","122036","4534","73146","23393","1112","21.02","710731","65145791","0.29563853390980405","27.09830602806759","World of Warcraft"
"Diablo II: Resurrected","20","Diablo II: Resurrected","2623243680","58602060","414244","5880","41078","20241","452","44.76","346368","44673578","0.3546305368787377","45.73925694762266","Diablo II: Resurrected"
"Sports","21","Sports","2605143720","16510740","794311","451","20582","20101","127","157.78","1013620","101820098","3.683493289822261","370.01405630516865","Sports"
"Call of Duty: Vanguard","22","Call of Duty: Vanguard","2480236740","147274320","326436","15077","181239","19137","1136","16.84","1095053","37918065","0.4461278789133095","15.4479334890156","Call of Duty: Vanguard"
"Genshin Impact","23","Genshin Impact","2480207220","148598700","571044","3439","152509","19137","1146","16.69","1747439","44768247","0.7055670069791997","18.076166346004374","Genshin Impact"
"ASMR","24","ASMR","2327579280","26203500","41575","274","12715","17959","202","88.83","1656868","49704812","3.7938473867994733","113.81260976587097","ASMR"
"Rocket League","25","Rocket League","2270290260","128042880","140185","2223","245695","17517","987","17.73","1783867","43701323","0.8359076271948898","20.478134981031353","Rocket League"
"LOST ARK","26","LOST ARK","2164229220","37225620","269904","3156","25258","16699","287","58.14","262844","37932846","0.42365016351641693","61.139902035211236","LOST ARK"
"Escape from Tarkov","27","Escape from Tarkov","2070406980","88063740","134087","1687","46072","15975","679","23.51","695882","33921087","0.4741215851155084","23.111273947711055","Escape from Tarkov"
"Tom Clancy's Rainbow Six Siege","28","Tom Clancy's Rainbow Six Siege","1981233180","100704840","100813","1763","149702","15287","777","19.67","879864","31994035","0.5242234633409874","19.062063948465635","Tom Clancy's Rainbow Six Siege"
"PUBG: BATTLEGROUNDS","29","PUBG: BATTLEGROUNDS","1812087000","81285360","138684","1093","55429","13982","627","22.29","576287","62446872","0.42538065895260846","46.09455281984357","PUBG: BATTLEGROUNDS"
"Path of Exile","30","Path of Exile","1781971140","30325080","231491","3098","15822","13749","233","58.76","202848","24504771","0.4013470038661069","48.484167560316415","Path of Exile"
"Pokémon Brilliant Diamond/Shining Pearl","31","Pokémon Brilliant Diamond/Shining Pearl","1766204940","39047940","247407","6001","50129","13628","301","45.23","491077","23497704","0.7545755294645505","36.10593132441814","Pokémon Brilliant Diamond/Shining Pearl"
"Battlefield 2042","32","Battlefield 2042","1706483160","58265280","344819","5035","105277","13167","449","29.29","395058","33547126","0.4068199792397805","34.54591756874763","Battlefield 2042"
"Final Fantasy XIV Online","33","Final Fantasy XIV Online","1663383660","89766960","133123","5397","57434","12834","692","18.53","395276","23762580","0.2642014389258587","15.882845982530766","Final Fantasy XIV Online"
"Art","34","Art","1636745040","98202840","41666","1206","100952","12629","757","16.67","1136074","37297377","0.6941188258913897","22.787962344062553","Art"
"NBA 2K22","35","NBA 2K22","1512612840","107480400","159548","7171","90467","11671","829","14.07","1019628","19505107","0.5691984771176885","10.888556611251913","NBA 2K22"
"Rust","36","Rust","1502525880","42713460","97021","927","41944","11593","329","35.18","682804","21895440","0.9591412168435898","30.756731016405602","Rust"
"Overwatch","37","Overwatch","1452219480","88599720","78397","1495","104166","11205","683","16.39","567622","23127482","0.38439534571892553","15.662001189168544","Overwatch"
"Halo Infinite","38","Halo Infinite","1337864520","69329880","246594","9955","145184","10323","534","19.3","489394","27787700","0.42353513376916274","24.04824586455364","Halo Infinite"
"Age of Empires IV","39","Age of Empires IV","1309366560","12771720","125471","1151","20013","10103","98","102.52","240216","19938025","1.1285057924852722","93.66643647057718","Age of Empires IV"
"Destiny 2","40","Destiny 2","1302505260","107666460","47109","2433","95239","10050","830","12.1","653386","17344032","0.3641167360754686","9.66542338254643","Destiny 2"
"Chess","41","Chess","1260975240","9289200","231630","181","11532","9729","71","135.75","325106","84773598","2.0998966541790467","547.5623175300349","Chess"
"Talk Shows & Podcasts","42","Talk Shows & Podcasts","1148047200","30554880","192745","555","24482","8858","235","37.57","403528","25740116","0.7923997737840894","50.54534529345231","Talk Shows & Podcasts"
"Back 4 Blood","43","Back 4 Blood","1083424680","50556060","218357","5158","99212","8359","390","21.43","187244","22518248","0.22222143102132563","26.72468701081532","Back 4 Blood"
"Old School RuneScape","44","Old School RuneScape","1080030060","20015100","96187","427","12060","8333","154","53.96","293589","13768379","0.8801025225954404","41.27397514876269","Old School RuneScape"
"Phasmophobia","45","Phasmophobia","1053478140","74652720","168685","3704","178770","8128","576","14.11","621528","15367955","0.4995354489427847","12.351556647902447","Phasmophobia"
"Among Us","46","Among Us","1018274400","19027200","418698","661","71487","7857","146","53.52","558757","17273727","1.761973385469223","54.47063256811302","Among Us"
"Garena Free Fire","47","Garena Free Fire","979941720","39085560","94227","755","39774","7561","301","25.07","1423962","41990710","2.1859152075600297","64.45967769171018","Garena Free Fire"
