Game,Watch time,Average viewers,Views gained,Followers gained
League of Legends,24525668160,189241,422762845,6754943
Grand Theft Auto V,24070933620,185732,348172295,10893275
VALORANT,13690090920,105633,321628051,8600813
Counter-Strike: Global Offensive,12647205540,97586,297600622,4936500
Dota 2,10211426460,78791,282429953,2853745
Call of Duty: Warzone,8168173080,63026,121667232,4353599
FIFA 22,7987713600,61633,119818616,4261049
Dead by Daylight,4516503600,34849,65504293,2001826
Slots,3722349720,28721,33526072,910648
Music,3668059140,28302,160576639,2013954
